age,diet,height,pets,sex,status
34,mostly anything,62,likes dogs and has cats,f,single
24,NA,68,has dogs,f,single
39,anything,72,NA,m,single
33,NA,65,likes dogs and likes cats,f,single
26,anything,67,likes dogs,f,single
36,NA,67,has dogs,m,single
46,strictly anything,68,has dogs,m,single
21,NA,67,NA,m,single
63,NA,67,NA,f,single
30,anything,62,has dogs,f,single
50,NA,63,NA,f,single
50,mostly anything,64,has dogs and has cats,f,single
34,NA,72,NA,m,available
40,NA,62,has cats,f,single
46,mostly anything,66,has dogs,f,single
41,mostly anything,67,has dogs and likes cats,m,single
29,mostly anything,62,has dogs and dislikes cats,f,single
53,other,69,likes dogs and has cats,f,single
39,mostly vegetarian,69,likes dogs and likes cats,m,single
39,NA,64,NA,f,single
24,NA,62,likes dogs,f,single
26,mostly anything,70,likes dogs,m,single
25,NA,64,likes dogs,f,single
59,mostly anything,63,has dogs and has cats,f,single
28,NA,67,NA,f,single
29,NA,68,NA,m,single
35,strictly anything,67,likes dogs and likes cats,m,single
25,NA,65,NA,f,single
36,mostly anything,67,likes dogs and likes cats,f,single
42,strictly anything,64,has cats,f,single
25,NA,71,NA,f,single
27,strictly anything,80,dislikes dogs and dislikes cats,m,single
45,mostly other,60,likes dogs and likes cats,f,single
37,NA,71,has dogs,m,single
47,mostly anything,69,has dogs and likes cats,m,single
24,NA,67,likes dogs,f,single
53,NA,64,has cats,f,single
26,NA,62,likes dogs and likes cats,f,single
49,mostly vegetarian,63,likes dogs and has cats,f,single
24,NA,61,has dogs,f,single
19,NA,69,NA,m,single
26,strictly other,76,likes dogs and likes cats,m,single
30,NA,70,NA,m,single
26,mostly vegetarian,72,NA,m,single
36,mostly anything,63,has dogs,f,single
24,NA,69,has dogs and likes cats,m,single
47,mostly anything,72,NA,m,single
51,mostly anything,70,NA,m,single
28,anything,73,NA,m,single
48,mostly vegetarian,62,has dogs,f,available
37,NA,62,likes dogs and has cats,f,single
47,mostly anything,72,has dogs,m,single
34,anything,66,likes dogs,f,single
37,strictly anything,65,likes dogs and likes cats,f,single
25,NA,70,likes dogs and likes cats,m,single
32,mostly anything,71,likes dogs,m,single
42,mostly anything,71,likes dogs and dislikes cats,f,single
33,mostly anything,64,NA,f,single
34,anything,63,likes dogs and has cats,f,single
42,strictly other,75,likes dogs and likes cats,m,single
29,strictly anything,70,likes dogs and likes cats,m,single
55,mostly anything,73,has dogs and likes cats,m,single
32,NA,68,NA,m,single
25,NA,69,has cats,m,single
31,mostly vegetarian,64,likes dogs and has cats,f,single
45,NA,68,NA,m,single
39,anything,68,likes dogs and likes cats,f,single
50,mostly anything,74,has dogs and likes cats,m,available
29,mostly vegetarian,61,likes dogs and likes cats,f,single
50,NA,66,has cats,f,single
43,NA,62,likes dogs and has cats,f,single
63,NA,67,has cats,f,single
35,strictly vegetarian,72,likes dogs and likes cats,m,single
19,mostly vegetarian,67,has dogs and has cats,f,single
62,anything,64,has dogs,f,single
44,mostly anything,68,likes dogs,f,single
30,strictly anything,63,NA,f,single
24,vegetarian,69,likes dogs,m,single
40,mostly anything,68,likes dogs and likes cats,f,single
63,mostly anything,65,likes dogs and has cats,f,single
45,NA,66,NA,m,single
53,mostly anything,62,NA,f,single
36,NA,72,has dogs,m,single
22,strictly anything,70,NA,m,single
19,NA,69,has dogs and has cats,m,single
32,strictly anything,64,likes dogs and has cats,f,single
61,mostly anything,63,has dogs and has cats,f,single
20,NA,60,likes cats,f,single
34,NA,65,has dogs,f,single
34,anything,67,likes dogs,f,single
36,mostly anything,72,likes dogs and likes cats,m,single
29,vegetarian,71,likes dogs and likes cats,m,single
30,strictly anything,73,likes dogs,m,single
40,mostly anything,68,NA,m,single
28,NA,62,has dogs and dislikes cats,f,single
20,mostly anything,69,likes dogs and likes cats,m,single
40,mostly anything,71,likes dogs and likes cats,m,single
43,strictly anything,66,NA,f,single
19,anything,72,has dogs,m,single
60,anything,68,NA,m,single
66,NA,73,likes dogs,m,single
39,strictly anything,67,likes dogs and likes cats,m,single
28,NA,75,likes dogs,m,single
34,NA,74,likes dogs and likes cats,m,available
32,NA,74,likes dogs and likes cats,m,single
34,mostly anything,68,likes dogs and has cats,f,single
29,NA,64,NA,f,single
26,mostly vegetarian,75,likes dogs,m,single
43,NA,63,has dogs and likes cats,f,single
44,mostly anything,65,likes dogs and has cats,f,single
32,NA,72,NA,m,single
37,mostly vegetarian,68,likes dogs and likes cats,f,single
30,strictly anything,69,has dogs and has cats,f,single
26,strictly anything,73,likes dogs and likes cats,m,single
23,NA,70,NA,m,single
31,NA,69,has dogs,m,single
34,mostly anything,73,NA,m,single
48,mostly anything,69,NA,m,single
35,NA,71,likes dogs and likes cats,m,single
25,NA,73,NA,m,single
27,mostly anything,63,likes dogs,f,single
27,NA,67,NA,m,single
22,NA,64,likes dogs and likes cats,f,single
35,vegan,71,likes dogs and has cats,m,single
26,NA,72,NA,m,single
32,mostly anything,74,NA,m,single
32,NA,72,NA,m,single
23,mostly anything,71,likes dogs and likes cats,m,single
40,NA,64,has dogs,f,single
47,mostly anything,66,has dogs,f,single
31,mostly anything,74,likes cats,m,single
30,strictly anything,68,NA,m,single
25,anything,70,NA,f,single
33,anything,68,has cats,m,single
54,mostly vegetarian,76,likes dogs and likes cats,m,single
30,NA,72,likes dogs and likes cats,m,single
45,NA,70,NA,m,single
30,strictly vegetarian,67,has dogs,m,available
49,NA,64,has dogs and has cats,m,single
32,NA,68,NA,m,single
24,NA,66,NA,f,single
57,strictly vegan,69,likes dogs,m,single
41,mostly anything,72,NA,m,single
37,NA,61,has dogs and likes cats,f,single
35,NA,74,has dogs,m,single
40,mostly anything,64,likes dogs,f,single
50,NA,66,has cats,f,single
40,mostly anything,73,likes dogs and likes cats,m,single
37,strictly vegetarian,76,likes dogs and likes cats,m,single
60,mostly anything,71,likes dogs and dislikes cats,m,single
47,NA,69,NA,m,single
29,NA,71,NA,m,single
29,mostly anything,71,likes dogs,m,single
22,mostly anything,91,likes dogs and likes cats,f,single
44,NA,74,likes dogs and has cats,m,seeing someone
57,mostly vegetarian,62,likes dogs and likes cats,f,single
43,mostly anything,67,has cats,f,single
20,mostly anything,62,likes dogs,f,single
29,mostly vegetarian,71,NA,m,single
30,NA,70,NA,m,single
25,NA,72,likes dogs,m,single
39,NA,72,likes dogs and dislikes cats,m,single
41,mostly anything,64,likes dogs and dislikes cats,f,single
30,mostly anything,72,likes dogs and likes cats,m,single
23,strictly anything,68,NA,m,single
49,mostly other,68,likes dogs and has cats,f,single
59,anything,71,dislikes cats,m,single
39,NA,66,NA,m,single
38,NA,67,likes dogs and likes cats,m,single
59,anything,68,likes dogs and dislikes cats,f,single
26,mostly kosher,61,dislikes dogs and dislikes cats,f,single
33,mostly anything,73,likes dogs and likes cats,f,single
46,NA,71,likes dogs and likes cats,m,single
36,strictly anything,71,likes dogs and likes cats,m,single
40,mostly anything,64,has dogs and likes cats,f,available
29,NA,72,NA,m,single
30,vegetarian,67,has cats,f,single
30,NA,65,NA,f,single
33,NA,74,NA,m,seeing someone
29,anything,68,NA,m,single
23,NA,61,NA,f,single
33,NA,71,likes dogs and likes cats,m,single
28,mostly anything,67,likes dogs and dislikes cats,m,single
31,NA,65,has dogs and dislikes cats,m,single
29,mostly vegetarian,79,NA,m,single
44,NA,61,NA,f,single
28,NA,66,likes dogs,f,single
47,anything,76,likes dogs and has cats,m,single
24,mostly anything,69,likes cats,m,single
28,mostly anything,70,likes dogs and dislikes cats,m,single
40,NA,65,has dogs,f,single
24,mostly anything,72,NA,m,single
20,NA,71,NA,m,seeing someone
39,mostly anything,71,likes dogs and likes cats,m,single
52,NA,62,likes dogs and likes cats,f,single
39,NA,70,NA,m,single
33,NA,72,likes dogs and likes cats,m,single
26,strictly other,70,NA,f,single
31,NA,69,likes dogs and dislikes cats,m,single
27,NA,71,likes dogs and likes cats,m,single
60,mostly anything,70,likes dogs and likes cats,m,single
52,strictly anything,65,likes dogs and has cats,f,single
42,NA,64,NA,f,single
31,NA,68,has dogs,f,single
38,mostly vegetarian,68,NA,m,single
26,NA,67,likes dogs,m,single
32,NA,64,NA,f,single
40,NA,72,NA,m,available
32,anything,61,NA,f,single
31,mostly vegan,64,likes dogs and likes cats,f,single
32,NA,72,likes dogs and likes cats,m,single
22,mostly anything,64,likes dogs,f,single
37,anything,70,likes dogs,m,single
33,anything,63,NA,f,single
44,strictly anything,72,likes dogs and likes cats,m,single
18,NA,66,has dogs,m,single
38,NA,65,NA,m,single
23,mostly anything,64,has dogs and likes cats,f,single
33,NA,65,likes dogs and likes cats,f,single
24,mostly other,64,likes dogs,f,seeing someone
32,mostly anything,64,likes dogs and likes cats,f,single
27,NA,63,NA,f,single
39,strictly vegan,63,likes dogs,f,single
47,mostly vegetarian,66,likes dogs and likes cats,f,single
33,mostly anything,70,likes dogs and likes cats,m,single
38,NA,70,likes dogs and likes cats,m,single
42,NA,67,likes dogs and likes cats,f,single
42,mostly anything,70,likes dogs and likes cats,m,single
21,mostly anything,68,NA,f,single
35,mostly anything,73,likes dogs and has cats,m,single
38,mostly vegetarian,64,NA,f,single
34,NA,64,has dogs and likes cats,f,single
27,NA,71,NA,m,single
29,NA,71,NA,m,single
27,NA,62,likes dogs and likes cats,f,single
23,mostly anything,67,likes dogs,m,single
33,mostly anything,67,has dogs,m,single
25,mostly anything,70,NA,m,single
31,NA,66,likes dogs and likes cats,f,single
24,NA,72,likes dogs and likes cats,f,single
49,anything,70,has dogs,m,single
23,strictly anything,72,likes dogs and dislikes cats,m,single
23,NA,66,has dogs and has cats,f,single
22,mostly vegetarian,63,likes dogs and likes cats,f,single
48,mostly anything,70,likes dogs and likes cats,m,single
27,anything,71,NA,m,single
30,NA,68,likes dogs and has cats,m,seeing someone
59,mostly anything,64,dislikes dogs and dislikes cats,m,single
27,NA,70,NA,m,single
24,mostly anything,68,likes dogs and likes cats,m,single
32,mostly anything,69,NA,f,single
24,anything,74,NA,m,single
32,anything,72,NA,m,single
30,strictly anything,75,likes dogs and likes cats,m,available
40,NA,65,has dogs,f,single
18,strictly anything,73,likes dogs and likes cats,m,single
29,NA,69,likes dogs,m,single
32,NA,62,has dogs,f,single
27,mostly vegetarian,64,likes dogs and likes cats,f,single
56,NA,68,NA,f,single
35,NA,70,NA,m,single
20,strictly anything,67,NA,m,single
30,strictly anything,72,NA,m,single
43,mostly anything,69,likes dogs and has cats,m,single
27,anything,68,likes dogs,m,single
30,mostly anything,71,likes dogs and dislikes cats,m,single
58,NA,72,likes dogs and likes cats,m,single
31,mostly anything,68,likes dogs,m,single
34,mostly anything,72,likes dogs,m,single
41,mostly anything,75,likes dogs and likes cats,m,single
27,NA,67,likes dogs and has cats,f,single
37,anything,68,likes dogs and likes cats,m,single
35,mostly anything,67,NA,f,single
26,NA,73,NA,m,single
28,NA,72,likes dogs and has cats,m,single
32,mostly anything,76,has dogs,m,single
38,NA,68,likes dogs and dislikes cats,f,single
42,mostly anything,72,NA,m,single
25,NA,67,likes dogs,m,single
34,anything,66,likes dogs and likes cats,f,single
46,anything,71,likes dogs,m,single
31,strictly anything,69,likes dogs and likes cats,m,single
26,mostly anything,64,likes dogs and has cats,f,single
37,mostly anything,75,likes dogs and likes cats,m,single
28,mostly anything,69,NA,f,single
21,vegetarian,67,NA,m,single
50,mostly anything,70,has dogs and has cats,m,single
24,NA,71,has dogs and has cats,f,single
24,mostly anything,74,likes dogs,m,single
32,anything,69,likes dogs,m,single
50,mostly anything,68,NA,m,single
33,NA,60,NA,f,single
38,other,68,NA,m,single
49,strictly anything,70,likes dogs and likes cats,m,available
35,NA,70,likes dogs and likes cats,m,single
20,vegan,60,has dogs,f,single
22,NA,67,likes dogs and likes cats,m,single
32,mostly anything,83,likes dogs and likes cats,m,single
25,NA,70,NA,m,single
26,strictly vegan,59,NA,f,single
23,mostly anything,71,has dogs and likes cats,m,single
43,anything,77,likes dogs,m,single
28,mostly anything,69,NA,m,single
44,mostly anything,76,likes dogs and has cats,m,available
22,mostly anything,71,NA,m,single
31,mostly vegetarian,68,NA,f,single
65,NA,70,likes dogs,m,single
36,NA,70,likes dogs and has cats,f,single
35,mostly anything,62,likes dogs,f,single
40,mostly other,70,likes dogs and likes cats,f,single
30,mostly anything,66,has cats,f,single
26,strictly vegetarian,72,likes dogs and likes cats,m,single
23,mostly vegetarian,73,NA,m,single
27,NA,68,has dogs and likes cats,m,available
36,strictly anything,72,NA,m,single
41,strictly anything,66,likes dogs and likes cats,f,available
45,mostly anything,70,likes dogs and likes cats,m,single
48,NA,68,NA,m,single
26,strictly anything,76,likes dogs,m,single
23,mostly anything,67,likes dogs and likes cats,m,single
28,NA,68,NA,f,single
29,anything,74,has dogs,m,single
42,NA,67,has dogs,f,single
33,anything,60,likes dogs,f,single
52,anything,70,NA,m,single
25,mostly anything,63,likes dogs,m,single
61,mostly anything,68,likes dogs and dislikes cats,m,single
28,mostly anything,71,NA,m,single
35,strictly vegetarian,73,NA,m,single
34,NA,72,NA,m,single
59,NA,68,NA,f,single
31,NA,77,has dogs,m,single
19,NA,73,has dogs and has cats,m,single
29,mostly anything,68,likes dogs and has cats,f,single
55,NA,66,likes dogs and has cats,f,single
45,mostly anything,65,NA,m,single
49,mostly anything,69,has dogs and likes cats,f,single
21,mostly anything,71,likes dogs and likes cats,m,single
27,NA,61,likes dogs,f,single
24,NA,68,NA,f,single
25,mostly anything,63,NA,f,single
44,mostly vegetarian,63,likes dogs and has cats,f,seeing someone
52,strictly anything,72,likes dogs and likes cats,m,single
30,mostly anything,66,likes dogs and likes cats,f,single
58,anything,64,has cats,f,single
33,strictly anything,63,likes dogs and has cats,f,single
44,mostly anything,68,NA,f,single
31,strictly anything,69,NA,f,single
38,strictly anything,67,likes dogs and likes cats,f,single
47,mostly anything,63,likes dogs and likes cats,f,single
29,NA,74,NA,m,single
28,mostly vegetarian,68,likes dogs and dislikes cats,m,available
40,NA,67,likes dogs,f,single
64,mostly anything,67,has dogs,f,single
52,NA,63,has dogs,f,single
37,mostly vegetarian,64,likes dogs and likes cats,m,single
33,mostly anything,67,likes dogs and likes cats,f,single
58,NA,72,has dogs,m,married
43,NA,72,likes dogs and likes cats,m,single
27,NA,65,NA,m,single
57,anything,68,likes dogs and likes cats,f,single
64,mostly vegetarian,69,NA,f,single
41,strictly anything,69,has dogs,m,single
35,NA,74,likes dogs and likes cats,m,single
26,strictly anything,73,likes dogs,m,single
52,other,72,has dogs and has cats,m,single
45,mostly anything,63,has dogs and likes cats,f,single
24,strictly anything,68,dislikes dogs and dislikes cats,f,single
26,anything,68,has dogs,m,single
25,NA,75,likes dogs and dislikes cats,m,single
35,NA,73,NA,m,single
25,NA,68,likes dogs and likes cats,f,single
33,NA,67,NA,m,single
41,NA,73,has dogs,m,single
26,mostly anything,64,likes dogs and dislikes cats,f,single
27,NA,71,likes dogs and likes cats,m,single
25,anything,64,NA,f,single
39,NA,63,has dogs,f,single
35,mostly anything,71,likes dogs,m,single
30,NA,64,likes dogs,f,single
21,anything,74,NA,m,single
48,mostly anything,69,NA,f,single
25,NA,73,likes dogs,m,seeing someone
27,mostly anything,71,likes dogs and dislikes cats,m,single
20,NA,73,NA,m,single
31,anything,74,likes dogs and has cats,m,available
37,NA,68,likes dogs and has cats,f,single
55,strictly other,64,has cats,f,single
37,mostly other,65,has dogs,f,single
24,mostly anything,74,likes dogs and likes cats,m,single
32,mostly anything,64,likes cats,f,single
18,mostly anything,70,likes dogs and likes cats,m,single
19,mostly anything,75,has dogs and likes cats,m,single
22,mostly anything,61,likes dogs and has cats,f,single
23,strictly vegetarian,70,NA,m,single
36,strictly anything,70,NA,f,single
19,strictly anything,63,likes dogs and likes cats,f,single
30,NA,71,NA,m,single
43,mostly anything,62,likes dogs,f,single
19,NA,70,NA,m,single
36,anything,69,has dogs and has cats,m,single
32,anything,68,NA,m,single
32,mostly anything,71,NA,m,single
33,anything,61,has cats,f,single
27,vegetarian,69,likes dogs and has cats,f,single
30,NA,68,likes dogs and likes cats,f,single
26,anything,71,NA,m,single
34,NA,71,likes dogs and dislikes cats,m,single
23,NA,72,NA,m,single
38,anything,69,NA,m,available
57,NA,66,NA,f,single
31,mostly anything,70,likes dogs and likes cats,m,single
41,strictly anything,70,likes dogs and likes cats,m,single
30,NA,73,likes dogs and likes cats,m,single
27,mostly anything,73,likes dogs and likes cats,m,single
33,NA,69,NA,m,single
33,strictly anything,67,has dogs and likes cats,m,single
38,NA,69,likes dogs,f,single
45,NA,68,has dogs and likes cats,f,single
36,NA,67,likes dogs,m,single
32,mostly anything,70,NA,m,single
28,NA,70,likes dogs and likes cats,m,single
34,mostly vegetarian,62,NA,f,single
30,anything,64,likes dogs and dislikes cats,f,single
34,NA,69,likes dogs and likes cats,m,single
61,other,68,NA,m,single
31,NA,68,likes dogs and likes cats,m,seeing someone
21,NA,70,NA,m,single
38,strictly anything,68,likes dogs and likes cats,f,single
24,mostly vegetarian,67,likes dogs and likes cats,m,single
31,NA,63,likes dogs and has cats,f,single
34,strictly anything,66,has dogs and likes cats,f,single
33,strictly anything,70,likes dogs and has cats,f,seeing someone
27,NA,72,NA,m,single
31,NA,70,has dogs and likes cats,m,single
45,mostly anything,75,likes dogs and likes cats,m,single
33,anything,71,likes dogs and likes cats,m,single
27,NA,63,has dogs,f,single
41,NA,71,has dogs and likes cats,m,single
29,anything,72,likes dogs and likes cats,m,single
25,strictly anything,76,likes dogs,m,single
47,NA,68,likes dogs and likes cats,m,single
30,strictly anything,70,likes dogs and likes cats,m,single
21,strictly anything,73,has dogs and has cats,m,single
29,mostly anything,70,has dogs and has cats,m,single
32,NA,68,likes dogs,m,single
33,NA,67,NA,m,single
42,anything,69,has dogs,m,single
23,NA,72,NA,m,single
23,NA,74,NA,m,single
43,strictly anything,64,has dogs and likes cats,f,married
23,vegetarian,63,NA,f,single
28,NA,67,NA,m,single
38,NA,67,has cats,f,single
